function:(p1*x)^0.35076971,average_MSE:0.05433583355654934
name,p1,MSE
job_00587,4.335568289927933,0.029139547220569325
job_00588,2.8572621400653575,0.019827319984361068
job_00590,3.012035193545692,0.016169844685563012
job_00591,2.8836120287559477,0.016078407547316466
job_00593,3.93695185444863,0.04997070673306618
job_00594,4.099729905427669,0.018831218360965036
job_00595,2.833764030274416,0.02034968878962276
job_00596,3.638492623637056,0.029895916210307717
job_00598,3.877534928061521,0.028968058478445757
job_00599,3.079063984780115,0.014207504596054313
job_00600,3.554509827350217,0.04982021169050385
job_00602,3.707542739018704,0.03863971975137373
job_00603,2.8564674527430385,0.02022386052508925
job_00607,2.7333877210698483,0.008259471967777399
job_00609,2.96840738666341,0.020653862836979616
job_00611,3.1678785698878045,0.007479654747612514
job_00612,2.9747896225987644,0.01892361669183125
job_00615,4.04435627460691,0.036297447511464874
job_00617,5.519935589334335,0.3715916180187896
job_00618,3.101037366849843,0.01732312599865659
